Time,Pos,x,y,z
2024-04-09 10:44:07.695,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:07.713,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:07.730,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:07.747,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:07.762,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:07.810,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:07.930,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.020,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.127,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.231,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.335,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.439,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.679,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.920,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.937,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:08.953,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.100,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.118,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.160,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.280,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.459,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.475,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.580,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.759,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.819,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:09.940,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:10.000,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:10.120,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:10.180,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:10.359,SensorPos.R_HIP,42.56,-32.81,-110.25
2024-04-09 10:44:10.479,SensorPos.R_HIP,42.56,-32.81,-110.25
